"","x"
"1219",-1
"1220",0
"1221",1
"1222",2
"1223",0
"1224",1
"1225",0
"1226",-2
"1227",0
"1228",-1
"1229",-3
"1230",1
"1231",1
"1232",-1
"1233",1
"1234",1
"1235",0
"1236",0
"1237",-1
"1238",0
"1239",0
"1240",0
"1241",1
"1242",1
"1243",1
"1244",1
"1245",1
"1246",0
"1247",0
"1248",1
"1249",2
"1250",0
"1251",0
"1252",0
"1253",-1
"1254",0
"1255",0
"1256",1
"1257",2
"1258",0
"1259",1
"1260",0
"1261",-1
"1262",1
"1263",0
"1264",0
"1265",0
"1266",-1
"1267",-2
"1268",0
"1269",2
"1270",2
"1271",1
"1272",-1
"1273",1
"1274",-1
"1275",0
"1276",0
"1277",0
"1278",0
"1279",0
"1280",-1
"1281",0
"1282",0
"1283",-1
"1284",0
"1285",-1
"1286",0
"1287",0
"1288",0
"1289",1
"1290",0
"1291",-1
"1292",1
"1293",0
"1294",0
"1295",-1
"1296",0
"1297",-1
"1298",1
"1299",0
"1300",1
"1301",0
"1302",-1
"1303",0
"1304",1
"1305",0
"1306",0
"1307",0
"1308",0
"1309",0
"1310",0
"1311",-1
"1312",-1
"1313",0
"1314",0
"1315",0
"1316",-1
"1317",0
"1318",2
"1319",0
"1320",-1
"1321",-1
"1322",-2
"1323",-1
"1324",0
"1325",-2
"1326",-2
"1327",1
"1328",2
"1329",1
"1330",2
"1331",-1
"1332",-2
"1333",-2
"1334",0
"1335",2
"1336",1
"1337",-1
"1338",0
"1339",0
"1340",-1
"1341",0
"1342",0
"1343",0
"1344",0
"1345",1
"1346",1
"1347",1
"1348",1
"1349",0
"1350",0
"1351",-1
"1352",-1
"1353",1
"1354",2
"1355",0
"1356",-1
"1357",1
"1358",0
"1359",0
"1360",-2
"1361",-1
"1362",0
"1363",0
"1364",-1
"1365",-1
"1366",0
"1367",0
"1368",-2
"1369",0
"1370",-1
"1371",0
"1372",0
"1373",0
"1374",-1
"1375",-1
"1376",-2
"1377",0
"1378",-2
"1379",2
"1380",1
"1381",0
"1382",-2
"1383",-1
"1384",0
"1385",-1
"1386",-3
"1387",-5
"1388",-1
"1389",-3
"1390",4
"1391",0
"1392",0
"1393",2
"1394",1
"1395",0
"1396",-1
"1397",-2
"1398",2
"1399",0
"1400",0
"1401",-1
"1402",-1
"1403",-1
"1404",1
"1405",1
"1406",2
"1407",-2
"1408",1
"1409",-1
"1410",-1
"1411",-3
"1412",-2
"1413",0
"1414",-1
"1415",1
"1416",-2
"1417",-1
"1418",2
"1419",0
"1420",-1
"1421",0
"1422",1
"1423",-1
"1424",0
"1425",1
"1426",1
"1427",2
"1428",1
"1429",1
"1430",-1
"1431",0
"1432",2
"1433",2
"1434",1
"1435",-1
"1436",1
"1437",0
"1438",0
"1439",-1
"1440",-1
"1441",0
"1442",3
"1443",-1
"1444",-1
"1445",-1
"1446",0
"1447",1
"1448",-1
"1449",-1
"1450",0
"1451",-1
"1452",-2
"1453",-1
"1454",0
"1455",0
"1456",1
"1457",2
"1458",0
"1459",0
"1460",0
"1461",-1
"1462",-1
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",1
"1469",1
"1470",2
"1471",0
"1472",-1
"1473",0
"1474",2
"1475",1
"1476",0
"1477",3
"1478",0
"1479",1
"1480",-2
"1481",-2
"1482",-3
"1483",-1
"1484",3
"1485",1
"1486",1
"1487",1
"1488",-2
"1489",-1
"1490",3
"1491",0
"1492",-1
"1493",2
"1494",0
"1495",-1
"1496",0
"1497",1
"1498",-1
"1499",0
"1500",0
"1501",-1
